slot,ix_name,ix_args,error
81,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 1503909708, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
84,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 224172915, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
88,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 1487631741, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
91,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 1578698730, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
94,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 1106859224, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
97,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 78528574, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
100,add_liquidity,"{'n_shares': 10886033953, 'market_index': 0}",
103,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 10122089, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
106,remove_liquidity,"{'shares_to_burn': 175799100000, 'market_index': 0}",
109,add_liquidity,"{'n_shares': 27395188395, 'market_index': 0}",
112,add_liquidity,"{'n_shares': 28676496739, 'market_index': 0}",
115,add_liquidity,"{'n_shares': 76094164988, 'market_index': 0}",
119,add_liquidity,"{'n_shares': 95618061873, 'market_index': 0}",
124,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 797808007, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
127,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 942504360, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
130,add_liquidity,"{'n_shares': 26860714611, 'market_index': 0}",
134,remove_liquidity,"{'shares_to_burn': 36825100000, 'market_index': 0}",
137,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 1752158763, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
140,add_liquidity,"{'n_shares': 34863453335, 'market_index': 0}",
144,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 803400531, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
148,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 338321326, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
151,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 367932564, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
154,add_liquidity,"{'n_shares': 55026883727, 'market_index': 0}",
158,remove_liquidity,"{'shares_to_burn': 170468700000, 'market_index': 0}",
161,add_liquidity,"{'n_shares': 3142506014, 'market_index': 0}",
164,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 694663139, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
169,add_liquidity,"{'n_shares': 40458149883, 'market_index': 0}",
172,add_liquidity,"{'n_shares': 80377453207, 'market_index': 0}",
175,add_liquidity,"{'n_shares': 4564444594, 'market_index': 0}",
178,add_liquidity,"{'n_shares': 77388342364, 'market_index': 0}",
181,add_liquidity,"{'n_shares': 50352416622, 'market_index': 0}",
187,add_liquidity,"{'n_shares': 60565725931, 'market_index': 0}",
190,add_liquidity,"{'n_shares': 27809563568, 'market_index': 0}",
193,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 59106473, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
197,remove_liquidity,"{'shares_to_burn': 84941800000, 'market_index': 0}",
200,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 730770471, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
203,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 532807343, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
208,remove_liquidity,"{'shares_to_burn': 154601400000, 'market_index': 0}",
211,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 1204604489, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
214,add_liquidity,"{'n_shares': 59903582742, 'market_index': 0}",
218,add_liquidity,"{'n_shares': 47989642332, 'market_index': 0}",
221,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 1521900737, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
225,add_liquidity,"{'n_shares': 54333821987, 'market_index': 0}",
228,add_liquidity,"{'n_shares': 31014077545, 'market_index': 0}",
231,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 1175726440, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
234,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 360324440, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
238,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 904869378, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
241,add_liquidity,"{'n_shares': 50361916895, 'market_index': 0}",
244,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 311112500, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
247,add_liquidity,"{'n_shares': 7169475777, 'market_index': 0}",
250,remove_liquidity,"{'shares_to_burn': 47989600000, 'market_index': 0}",
253,add_liquidity,"{'n_shares': 63414257985, 'market_index': 0}",
256,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 1501410690, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
259,add_liquidity,"{'n_shares': 10771010818, 'market_index': 0}",
262,add_liquidity,"{'n_shares': 7448264218, 'market_index': 0}",
265,add_liquidity,"{'n_shares': 76482282952, 'market_index': 0}",
268,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 440962295, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
272,remove_liquidity,"{'shares_to_burn': 469674200000, 'market_index': 0}",
276,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 220748438, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
279,remove_liquidity,"{'shares_to_burn': 54333800000, 'market_index': 0}",
282,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 243602384, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
286,add_liquidity,"{'n_shares': 17911008148, 'market_index': 0}",
291,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 1328724028, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
294,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Long': Container()}, 'user_order_id': 0, 'base_asset_amount': 916851531, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
298,add_liquidity,"{'n_shares': 75544489226, 'market_index': 0}",
301,add_liquidity,"{'n_shares': 63042727494, 'market_index': 0}",
304,remove_liquidity,"{'shares_to_burn': 289831800000, 'market_index': 0}",
309,add_liquidity,"{'n_shares': 49472551248, 'market_index': 0}",
312,add_liquidity,"{'n_shares': 42501304083, 'market_index': 0}",
315,remove_liquidity,"{'shares_to_burn': 49472500000, 'market_index': 0}",
318,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 1560274954, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
321,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 1675307102, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
327,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 130990349, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
330,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 130234770, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
337,remove_liquidity,"{'shares_to_burn': 83930400000, 'market_index': 0}",
341,remove_liquidity,"{'shares_to_burn': 42501300000, 'market_index': 0}",
344,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 637532905, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
347,add_liquidity,"{'n_shares': 83859179208, 'market_index': 0}",
350,remove_liquidity,"{'shares_to_burn': 83859100000, 'market_index': 0}",
356,add_liquidity,"{'n_shares': 1523915613, 'market_index': 0}",
360,add_liquidity,"{'n_shares': 55182532557, 'market_index': 0}",
364,add_liquidity,"{'n_shares': 50803991509, 'market_index': 0}",
367,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 1084550410, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
373,add_liquidity,"{'n_shares': 90999688419, 'market_index': 0}",
377,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 1632486312, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
380,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 1229259147, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
383,add_liquidity,"{'n_shares': 21173177795, 'market_index': 0}",
388,remove_liquidity,"{'shares_to_burn': 202096300000, 'market_index': 0}",
392,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 1820652112, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
397,add_liquidity,"{'n_shares': 30155156430, 'market_index': 0}",
400,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 1600411645, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
403,add_liquidity,"{'n_shares': 87063943399, 'market_index': 0}",
407,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 755547147, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
413,add_liquidity,"{'n_shares': 25841430305, 'market_index': 0}",
416,add_liquidity,"{'n_shares': 47387285981, 'market_index': 0}",
419,add_liquidity,"{'n_shares': 65689952038, 'market_index': 0}",
422,remove_liquidity,"{'shares_to_burn': 55182500000, 'market_index': 0}",
425,add_liquidity,"{'n_shares': 56427675682, 'market_index': 0}",
428,remove_liquidity,"{'shares_to_burn': 165404900000, 'market_index': 0}",
433,add_liquidity,"{'n_shares': 8458136042, 'market_index': 0}",
436,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 150367028, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
439,add_liquidity,"{'n_shares': 26010002020, 'market_index': 0}",
442,remove_liquidity,"{'shares_to_burn': 90895700000, 'market_index': 0}",
443,open_position,"{'maker_order_id': None, 'params': {'order_type': {'Market': Container()}, 'market_type': {'Perp': Container()}, 'direction': {'Short': Container()}, 'user_order_id': 0, 'base_asset_amount': 1818140832, 'price': 0, 'market_index': 0, 'reduce_only': False, 'post_only': False, 'immediate_or_cancel': False, 'trigger_price': None, 'trigger_condition': {'Below': Container()}, 'oracle_price_offset': None, 'auction_duration': None, 'time_in_force': None, 'auction_start_price': None}}",
